"DÃ¨s lâ€™instant oÃ¹ vous utilisez lâ€™iPhone 6s, vous dÃ©couvrez des sensations inÃ©dites. Dâ€™une simple pression, 3D Touch vous ouvre un champ des possibles insoupÃ§onnÃ©. Live Photos donne vie Ã  vos souvenirs. Et ce nâ€™est quâ€™un dÃ©but. Les innovations de lâ€™iPhone 6s nâ€™auront de cesse de vous Ã©tonner.","Vanaf het moment dat je de iPhone 6s gebruiken ontdek je nieuwe sensaties . Met Ã©Ã©n druk , 3D Touch opent een gebied van onvermoede mogelijkheden . Live Photos geeft leven aan je herinneringen . En dit is nog maar het begin . De innovaties van de iPhone 6s zal niet ophouden te verbazen."
"L'appareil photo fait un bond en avant en termes de qualitÃ©, passant de 8 Ã  12 mÃ©gapixels Ã  l'arriÃ¨re et de 1.2 Ã  5 mÃ©gapixels Ã  l'avant.","De camera maakt een sprong voorwaarts in termen van kwaliteit , van 8 tot 12 megapixels in de rug en 1,2-5 megapixels aan de voorkant ."
"Un processeur encore plus rapide pour une fluiditÃ© incontestable.","Een snellere processor om een onmiskenbare vloeibaarheid ."
"La technologie 3D Touch qui permet de faire apparaÃ®tre des menus et fonctions en appuyant plus fort sur lâ€™Ã©cran.","3D- Touch-technologie om de menu's en opties te tonen door te drukken harder op het scherm."
"Points nÃ©gatifs","Negatieven"
"Action cashback en combinaison avec un abonnement PanthÃ¨re Smartphone: 50 â‚¬ remboursÃ©s aprÃ¨s achat.","Actie cashback in combinatie met een Panther Smartphone abonnement : â‚¬ 50 terugbetaald na aankoop."
"Demandez votre cashback ici","Vraag hier uw cashback"
"GÃ©nÃ©ral","Algemeen"
"Taille de l'Ã©cran","Schermgrootte"
"RÃ©solution de l'Ã©cran","Schermresolutie"
"CapacitÃ© de la batterie","Capaciteit van de batterij"
"MÃ©moire interne","Intern geheugen"
"MÃ©moire extensible","Uitbreidbaar geheugen"
"SystÃ¨me","Systeem"
"SystÃ¨me d'exploitation","Besturingssysteem"
"ConnectivitÃ©","Connectiviteit"
"AccÃ¨s internet mobile","Mobile Internet Access"
"FrÃ©quences","Frequenties"
"MultimÃ©dia","Multimedia"
"Avis sur collectÃ© par","Beoordelingen verzameld door"
"Etapes par Ã©tapes","Stap voor stap"
"Standalone purchase","Standalone aankoop"
"Vous avez commandÃ© un smartphone sans abonnement:","Je bestelde een smartphone zonder abonnement :"
"Toute commande passÃ©e avant 19h vous sera livrÃ©e gratuitement le lendemain par bpost, mÃªme le samedi. Seules les commandes effectuÃ©es le week-end (samedi et dimanche), ne vous parviendront que le mardi suivant.","Alle bestellingen geplaatst voor 19u zal worden geleverd gratis de volgende dag door bpost , zelfs op zaterdagen . Alleen bestellingen die in het weekend ( zaterdag en zondag) krijgt u de volgende dinsdag te sturen."
"Subsidy purchase","Subsidie â€‹â€‹aankoop"
"Si vous Ãªtes un nouveau client Orange :","Als u een nieuwe Orange klant :"
"Vous recevrez votre nouvelle carte SIM par bpost dans les 2 jours ouvrables. Pour des raisons de sÃ©curitÃ©, votre carte SIM nâ€™est pas encore activÃ©e.",U zal uw nieuwe SIM- kaart door bpost ontvangt binnen 2 werkdagen . Om veiligheidsredenen wordt uw SIM-kaart nog niet geactiveerd .
"et suivez les instructions dâ€™activation. Votre carte SIM sera prÃªte Ã  lâ€™emploi dans les 24 heures.","En volg de instructies activering . Uw SIM -kaart is klaar voor gebruik binnen 24 uur."
"Une fois votre carte SIM activÃ©e, votre GSM vous sera livrÃ© dans les 2 jours ouvrables. Vous recevrez un mail qui vous confirmera lâ€™envoi de votre paquet.","Eenmaal geactiveerd de SIM-kaart , zal uw mobiele telefoon worden geleverd binnen 2 werkdagen . U ontvangt een e-mail bevestiging van uw pakket uit te sturen ."
"Si vous Ãªtes dÃ©jÃ  client Orange :","Als u al een Orange klant :"
"Vous nâ€™avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activÃ© en 24 heures et votre smartphone vous sera ensuite livrÃ© dans les 2 jours ouvrables.","U hoeft niet naar de SIM-kaart te veranderen . Uw abonnement wordt automatisch geactiveerd in 24 uur en dan is uw smartphone zal worden verzonden binnen 2 werkdagen ."
"Pourquoi acheter en ligne","Waarom online kopen"
"Cashback de 50â‚¬","Cashback 50 â‚¬"
"Commander votre","Bestel uw"
"Je commande gratuitement","Lk bestel gratis"
"Vous conservez votre numÃ©ro actuel","U houdt uw bestaande nummer"
"Livraison en 2 jours","Levering in 2 dagen"
"ComplÃ¨tez ces donnÃ©es pour valider votre commande","Vul deze gegevens om uw bestelling te valideren"
"Je dÃ©sire conserver mon numÃ©ro actuel de mon provider","Lk wil mijn bestaande nummer van mijn provider te houden"
"Vos donnÃ©es personnelles","Uw persoonlijke gegevens"
"Données personnelles","Persoonlijke gegevens"
"Titre","Titel"
"Nom","Naam"
"Date de naissance","Geboortedatum"
"Pourquoi","Waarom"
"Adresse de livraison","Leveringsadres"
"Ville","Stad"
"Voulez vous recevoir les offres intÃ©ressantes et les deniÃ¨res nouvelles Orange","Wilt u ontvangt interessante aanbiedingen en nieuwe deniÃ¨res Oranje"
"Valider ma commande","Bestelling bevestigen"
"Suivant votre budget","Afhankelijk van uw budget"
"Decouvrir","Ontdekken"
"Pour que votre abonnement soit actif, activez la carte SIM reÃ§ue sur www.mobistar.be/activer.","Voor dat uw abonnement actief is , selecteert u de SIM-kaart ontvangen op www.mobistar.be/activer ."
"Rendez-vous dans votre point de vente Mobistar pour profiter de ces offres","Ga naar je Mobistar verkooppunt om deze aanbiedingen te genieten"
"Vous pouvez Ã©galement modifier votre abonnement dans le","U kunt uw abonnement wijzigen"
"Bon Ã  savoir","Goed om te weten"
"Cartes prÃ©payÃ©es","Prepaid kaarten"
"AcquÃ©rir un nouveau GSM Ã  un prix avantageux en le combinant avec un abonnement","Het verwerven van een nieuwe gsm goedkoper door het te combineren met een abonnement"
"Changez facilement de plan tarifaire","Verander gemakkelijk van tariefplan"
"Un espace de 10GB pour stocker vos donnÃ©es","Een ruimte van 10GB aan uw gegevens op te slaan"
"Un service de navigation et dâ€™info trafic en temps rÃ©el (utilise les datas de votre abonnement)","Een navigatiedienst en info real-time verkeersinformatie ( met behulp van de details van uw abonnement )"
"Promo web pour les nouveaux abonnÃ©s Orange: -50% pendant 3 mois","Web promo voor nieuwe Orange abonnees : -50 % voor 3 maanden"
"Comment se passe la livraison de votre smartphone combinÃ© Ã  un abonnement","Hoe wordt de levering van uw smartphone in combinatie met een abonnement"
"Si vous Ãªtes un nouveau client, vous recevrez tout dâ€™abord une nouvelle carte SIM endÃ©ans les 2 jours ouvrables. Pour des raisons de sÃ©curitÃ©, la carte SIM ne sera pas activÃ©e.","Als u een nieuwe klant bent, eerst krijgt u een nieuwe SIM-kaart binnen 2 werkdagen. Om veiligheidsredenen wordt de SIM-kaart niet worden geactiveerd."
"Remarque : Si vous utilisez une carte prÃ©payÃ©e Mobistar, vous nâ€™avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activÃ© en 48 heures et votre smartphone sera ensuite livrÃ© endÃ©ans les 2 jours ouvrables.","Opmerking: Als u Mobistar prepaid-kaart te gebruiken, hoeft u niet naar de SIM-kaart te veranderen. Uw abonnement wordt automatisch geactiveerd in 48 uur en dan is uw smartphone zal worden verzonden binnen 2 werkdagen."
"Votre carte SIM sera prÃªte Ã  lâ€™emploi endÃ©ans les 24 heures.","Uw SIM-kaart is klaar voor gebruik binnen 24 uur."
"Votre carte SIM est compatible avec tous les tÃ©lÃ©phones","Uw SIM-kaart is compatibel met alle telefoons"
"Vous avez dÃ©jÃ  un abonnement ","Je hebt al een abonnement"
"Ãªtes pas encore un client Orange","Niet een Oranje klant weer"
"Votre nouvelle carte SIM vous sera livrÃ©e endÃ©ans les 2 jours ouvrables via bpost. Attention, par sÃ©curitÃ©, votre carte SIM n'est pas encore activÃ©e.","Ontvang en activeren van uw SIM-kaart"
"Pour ce faire, suivez les instructions que vous retrouverez dans l'enveloppe contenant votre carte SIM. Votre carte SIM est prÃªte Ã  l'utilisation dans les 24 heures.","Om dit te doen, volg de instructies die je kunt vinden in de envelop met uw SIM-kaart. Uw SIM-kaart is klaar voor gebruik binnen 24 uur."
"Vous avez une carte prÃ©payÃ©e","Je hebt een prepaid-kaart"
"Vous conservez votre numÃ©ro, votre carte SIM et votre crÃ©dit dâ€™appel restant.","Je houdt je nummer, uw SIM-kaart en uw resterende beltegoed."
"Vous pouvez trÃ¨s facilement et rapidement changer votre abonnement vous-mÃªme dans votre ","U kunt uw abonnement jezelf gemakkelijk en snel veranderen in je"
"Si vous avez dÃ©jÃ  un abonnement avec smartphone","Als je al een abonnement met smartphone"
"pour toutes les informations sur le changement de plan tarifaire selon la durÃ©e de votre contrat.","Voor alle informatie over de verandering van tariefplan, afhankelijk van de lengte van uw contract."
"Add to Cart","Add to Cart"
"Disponible en 3 couleurs","Beschikbaar in 3 kleuren"
"avec Panthère Smartphone","Met Panter Smartphone"
"Disponible en 4 couleurs","Beschikbaar in 4 kleuren"
"Smartphones et GSM","Smartphones en gsm's"
"Rechercher","Zoeken"
"Livraison rapide et gratuite, même le samedi. Retour simple et sans frais.","Snelle en gratis levering, ook op zaterdag.  Eenvoudig en gratis terugsturen."
"Par mots-clés","Op trefwoord"
"Par marque","Op merk"
"Par prix","Op prijs"
"Y5","Y5"
"3256 avis","3256 beoordelingen"
"Sans abonnement","Zonder abonnement"
"avec abonnement ","met abonnement "
"Avec abonnement","Met abonnement "
"à partir de","vanaf"
"Plus de smartphones et GSM","Meer smartphones en gsm's"
"/mois","/maand"
"Écran","Scherm"
"Ecran 5""","5"" scherm"
"Appareil photo 5MP","5MP camera"
"Couleurs disponibles","Beschikbare kleuren"
"Commander","Bestellen"
" mois"," maand"
"Prix","Prijs"
"Prix sans abonnement","Prijs zonder abonnement"
"Etalement de paiement possible","Gespreide betaling mogelijk"
"Rendez-vous dans un shop Orange","Ga naar een Orange-shop"
"Acheter ce smartphone","Deze smartphone" 
"dans un shop Orange","in een Orange-shop kopen" 
"Avis","Reviews"
"Vidéo produit","video product"
"Produits similaires","Vergelijkbare producten"
"4 raisons de commander en ligne ","4 redenen om online te bestellen"
"et doloris con quiat","et doloris con quiat"
"Plus d’infos","Meer info"
"Une seule chose a changé. Tout.","Het enige wat is veranderd, is alles."
"Dès l’instant où vous utilisez l’iPhone 6s, vous découvrez des sensations inédites. D’une simple pression, 3D Touch vous ouvre un champ des possibles insoupçonné. Live Photos donne vie à vos souvenirs. Et ce n’est qu’un début. Les innovations de l’iPhone 6s n’auront de cesse de vous étonner.","Zodra je iPhone 6s gebruikt, weet je dat je iets totaal nieuws in handen hebt. Eén druk op het scherm en 3D Touch opent een hele nieuwe wereld aan mogelijkheden. Met Live Photos komen je foto’s helemaal tot leven. En dat is nog maar het begin. Als je dieper in de mogelijkheden van je iPhone 6s duikt, kom je overal innovaties tegen."
"Points positifs","Pluspunten"
"L'appareil photo fait un bond en avant en termes de qualité, passant de 8 à 12 mégapixels à l'arrière et de 1.2 à 5 mégapixels à l'avant.","De camera maakt een grote sprong voorwaarts, van 8 tot 12 megapixel aan de achterzijde en van 1.2 naar 5 megapixel in de front camera."
"Un processeur encore plus rapide pour une fluidité incontestable.","Een nog snellere processor voor een ongeëvenaarde ervaring"
"La technologie 3D Touch qui permet de faire apparaître des menus et fonctions en appuyant plus fort sur l’écran.","3D- Touch-technologie die toelaat om  menu's en opties te tonen door harder op het scherm te drukken ."
"Points négatifs","Minpunten"
"Incompatible avec la recharge rapide et la recharge sans fil.","Snel herladen en draadloos herladen niet mogelijk"
"Profitez de l'action cashback en commandant cette appareil avec un abonnement Koala Smartphone :  50 € remboursés après achat. 
",Geniet van de cashback-actie als je dit toestel bestelt met een Koala Smartphone-abonnement:
"Demander votre cashback","Je cashback aanvragen"
"Général","Algemeen"
"Micro SD (max 256 GB)","Micro SD (tot 256 GB)"
"Multimédia","Multimedia"
"Radio FM","FM-radio"
"Avis collecté par","Reviews verzameld door"
"Commander un smartphone ","Een smartphone bestellen"
"Commander un smartphone seul ","Een losse smartphone bestellen"
"Toute commande passée avant 19h vous sera livrée gratuitement le lendemain par bpost, même le samedi. Seules les commandes effectuées le week-end (samedi et dimanche), ne vous parviendront que le mardi suivant.","Alle bestellingen vóór 19u worden gratis de volgende dag geleverd door bpost, zelfs op zaterdag. Als je tijdens het weekend bestelt (op zaterdag of zondag), wordt je bestelling op dinsdag geleverd."
"Commander un smartphone avec abonnement ","Een smartphone met abonnement bestellen"
"Si vous êtes un nouveau client Orange","Si vous êtes un nouveau client Orange"
"Livraison de votre carte SIM","Livraison de votre carte SIM"
"Vous recevrez votre nouvelle carte SIM par bpost dans les 2 jours ouvrables. Pour des raisons de sécurité, votre carte SIM n’est pas encore activée.","Vous recevrez votre nouvelle carte SIM par bpost dans les 2 jours ouvrables. Pour des raisons de sécurité, votre carte SIM n’est pas encore activée."
"Activation de votre carte SIM","Activation de votre carte SIM"
"Pour activer votre carte SIM, rendez-vous sur","Pour activer votre carte SIM, rendez-vous sur"
"et suivez les instructions d’activation. Votre carte SIM sera prête à l’emploi dans les 24 heures.","et suivez les instructions d’activation. Votre carte SIM sera prête à l’emploi dans les 24 heures."
"Livraison de votre smartphone","Livraison de votre smartphone"
"Une fois votre carte SIM activée, votre GSM vous sera livré dans les 2 jours ouvrables. Vous recevrez un mail qui vous confirmera l’envoi de votre paquet.","Une fois votre carte SIM activée, votre GSM vous sera livré dans les 2 jours ouvrables. Vous recevrez un mail qui vous confirmera l’envoi de votre paquet."
"Si vous êtes déjà client Orange","Si vous êtes déjà client Orange"
"Vous n’avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activé en 24 heures et votre smartphone vous sera ensuite livré dans les 2 jours ouvrables.","Vous n’avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activé en 24 heures et votre smartphone vous sera ensuite livré dans les 2 jours ouvrables."
"Cashback de","Cashback van"
"Sélectionner une gamme de prix","Selecteer op basis van je budget"
"6 modèles disponibles","6 beschikbare modellen"
"Panthère","Panthère"
"Pour que votre abonnement soit actif, activez la carte SIM reçue sur www.mobistar.be/activer.","Pour que votre abonnement soit actif, activez la carte SIM reçue sur www.mobistar.be/activer."
"Rendez-vous dans votre point de vente Mobistar pour profiter de ces offres !","Rendez-vous dans votre point de vente Mobistar pour profiter de ces offres !"
"Vous","Vous"
"êtes pas encore un client Orange","niet een Oranje klant weer"
"Nous nous occupons du reste","Nous nous occupons du reste"
"Rendez-vous dans votre Espace client ou dans un shop Orange","Rendez-vous dans votre Espace client ou dans un shop Orange"
"plus proche","plus proche"
"Besoin d'aide","Besoin d'aide"
"Cartes prépayées","Cartes prépayées"
"Acquérir un nouveau GSM à un prix avantageux en le combinant avec un abonnement","Acquérir un nouveau GSM à un prix avantageux en le combinant avec un abonnement"
"Appels illimités","Onbeperkt bellen"
"vers tous les réseaux","vers tous les réseaux"
"Inclus dans l'offre","Inbegrepen in dit aanbod"
"Changez facilement de","Changez facilement de"
"Analyse personnelle","Analyse personnelle"
"Un espace de 10GB pour stocker vos données","500 GB opslagruimte voor jouw gegevens"
"Un service de navigation et d’info trafic en temps réel","Een navigatiedienst en info real-time verkeersinformatie"
"Promo web pour les nouveaux abonnés Orange: -50% pendant 3 mois","Promo web pour les nouveaux abonnés Orange: -50% pendant 3 mois"
"Un smartphone à prix réduit","Een smartphone aan verminderde prijs"
"Comment se passe la livraison de votre smartphone combiné à un abonnement","Comment se passe la livraison de votre smartphone combiné à un abonnement"
"Recevez votre carte SIM","Recevez votre carte SIM"
"Si vous êtes un nouveau client, vous recevrez tout d’abord une nouvelle carte SIM endéans les 2 jours ouvrables. Pour des raisons de sécurité, la carte SIM ne sera pas activée.","Si vous êtes un nouveau client, vous recevrez tout d’abord une nouvelle carte SIM endéans les 2 jours ouvrables. Pour des raisons de sécurité, la carte SIM ne sera pas activée."
"Remarque : Si vous utilisez une carte prépayée Mobistar, vous n’avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activé en 48 heures et votre smartphone sera ensuite livré endéans les 2 jours ouvrables.","Remarque : Si vous utilisez une carte prépayée Mobistar, vous n’avez pas besoin de changer de carte SIM. Votre abonnement sera automatiquement activé en 48 heures et votre smartphone sera ensuite livré endéans les 2 jours ouvrables."
"Activez votre carte SIM","Activez votre carte SIM"
"Votre carte SIM sera prête à l’emploi endéans les 24 heures.","Votre carte SIM sera prête à l’emploi endéans les 24 heures."
"Votre carte SIM est compatible avec tous les téléphones","Votre carte SIM est compatible avec tous les téléphones"
"Recevez un smartphone","Recevez un smartphone"
"Vous avez déjà un abonnement","Vous avez déjà un abonnement"
"Commandez votre abonnement en ligne","Commandez votre abonnement en ligne"
"Recevez et activez votre carte SIM","Recevez et activez votre carte SIM"
"Votre nouvelle carte SIM vous sera livrée endéans les 2 jours ouvrables via bpost. Attention, par sécurité, votre carte SIM n'est pas encore activée.","Votre nouvelle carte SIM vous sera livrée endéans les 2 jours ouvrables via bpost. Attention, par sécurité, votre carte SIM n'est pas encore activée."
"Pour ce faire, suivez les instructions que vous retrouverez dans l'enveloppe contenant votre carte SIM. Votre carte SIM est prête à l'utilisation dans les 24 heures.","Pour ce faire, suivez les instructions que vous retrouverez dans l'enveloppe contenant votre carte SIM. Votre carte SIM est prête à l'utilisation dans les 24 heures."
"Votre carte SIM est compatible avec tous les appareils (normale / micro / nano SIM).","Votre carte SIM est compatible avec tous les appareils (normale / micro / nano SIM)."
"Vous avez une carte prépayée","Vous avez une carte prépayée"
"Vous conservez votre numéro, votre carte SIM et votre crédit d’appel restant.","Vous conservez votre numéro, votre carte SIM et votre crédit d’appel restant."
"Vous avez un autre plan tarifaire","Vous avez un autre plan tarifaire"
"le plus proche.","le plus proche."
"cliquez ici","cliquez ici"
"pour toutes les informations sur le changement de plan tarifaire selon la durée de votre contrat.","pour toutes les informations sur le changement de plan tarifaire selon la durée de votre contrat."
"Accessoires audio","Audio-accessoires"
"Chargeurs et câbles","Laders & kabels"
"Housses et protections","Hoezen & bescherming"
"Mémoires et cartes","Geheugen & kaarten"
"Montres et bracelets connectés","Smartwatches & activity trackers"
"Filtrer par","Sorteren op"
"Popularité","Populariteit"
"Prix croissants","Laagste prijzen"
"Prix décroissants","Hoogste prijzen"
"Garmin Viovactive GPS","Garmin Viovactive GPS"
"Disponible en 6 couleurs","Beschikbaar in 6 kleuren"
"Plus de montres & bracelets connectés","Meer smartwatches en activity trackers"
"Oxo Coque rigide pour Samsung Galaxy S7 edge","Oxo beschermhoes voor Samsung Galaxy S7 edge"
"Offre","Aanbod"
"Bougez mieux à la maison et au travail, pour une vie plus saine. La montre GPS connectée pour un style de vie actif.","Bougez mieux à la maison et au travail, pour une vie plus saine. La montre GPS connectée pour un style de vie actif."
"Montre GPS connectée ultracompacte, avec écran tactile couleur haute résolution et antireflet.","Montre GPS connectée ultracompacte, avec écran tactile couleur haute résolution et antireflet."
"Couplée à votre smartphone, vivoactive vibre discrètement et affiche des alertes en cas d'appels entrants, d'événements dans votre calendrier, d'e-mails et de SMS, ainsi que de notifications issues de réseaux sociaux et d'autres applications mobiles. Il vous suffit d'effleurer l'écran du bout du doigt pour lire ce qui vous intéresse ou l'effacer.","Couplée à votre smartphone, vivoactive vibre discrètement et affiche des alertes en cas d'appels entrants, d'événements dans votre calendrier, d'e-mails et de SMS, ainsi que de notifications issues de réseaux sociaux et d'autres applications mobiles. Il vous suffit d'effleurer l'écran du bout du doigt pour lire ce qui vous intéresse ou l'effacer."
"Personnalisez-la à votre image avec les fonds d'écran, widgets et applications provenant de la boutique Connect IQ™.","Personnalisez-la à votre image avec les fonds d'écran, widgets et applications provenant de la boutique Connect IQ™."
"Accessoires gratuits","Gratis accessoires"
"Promo web","Webpromo"
"Merci François","Merci François"
"votre","votre"
"commande est validée","commande est validée"
"Conservez votre numéro","Behoud je nummer"
"Carte SIM gratuite Panthère","Carte SIM gratuite Panthère"
"Mr. François Lorem Ipsum","Mr. François Lorem Ipsum"
"Rue du courant d’air","Rue du courant d’air"
"Bruxelles","Bruxelles"
"Belgique","Belgique"
"Oxo kit piéton","Oxo kit piéton"
"métallique","métallique"
"Par catégorie","Per categorie"
"Plus d'accessoires","Plus d'accessoires"
"Couleur disponibles","Couleur disponibles"
"Prix croissant","Prix croissant"
"Prix décroissant","Prix décroissant"
"plan tarifaire","plan tarifaire"
"Inbegrepen in dit aanbod","Orange Circle"
"(utilise les datas de votre abonnement)","(utilise les datas de votre abonnement)"
"Content ","Content "
"Code postal","Postcode"
"Votre commande","Jouw bestelling"
"Voir votre panier"," Bekijk je winkelmandje"
"Modifier mon panier","Je winkelmandje wijzigen" 
"Numero","Nummer"
"1.Numero","Nummer"
"Informations","Gegevens"
"Paiement","Betaling"
"Quantité","Aantal"
"Configurez votre numéro pour","Je nummer instellen voor "
"Récupérer un numéro existant ","Een bestaand nummer gebruiken"
"Numéro de GSM","Gsm-nummer"
"Obtenir un nouveau numéro ","Een nieuw nummer aanvragen"
"Continuer ","Verder gaan"
"Espace client ","Klantenzone"
"Finalisez d'abord votre commande sans ce produit, puis rendez-vous dans votre Espace client pour changer de plan tarifaire. ","Ga naar je Klantenzone om je Orange-abonnement te wijzigen. Beëindig eerst je bestelling zonder dit product, daarna kan je in je Klantenzone je tariefplan aanpassen."
"Continuer votre commande","Verder met je bestelling"
"ou","of"
"Ajouter un abonnement ","Een extra abonnement toevoegen"
"Transfert de votre numéro","Overdracht van je nummer"
"Transfert de votre numéro :","Overdracht van je nummer:"
"Quel est votre opérateur actuel ? *","Wie is je huidige operator ? *"
"Quel est votre opérateur actuel ?","Wie is je huidige operator?"
"Quel est votre opérateur actuel","Wie is je huidige operator"
"Quel est votre type de carte ? *","Welk type tariefplan ? *"
"Quel est votre type de carte ?","Welk type tariefplan?"
"Selectionnez","Selecteer"
"Proximus","Proximus"
"Telenet","Telenet"
"Base","Base "
"Abonnement ","Abonnement "
"Carte prépayée","Herlaadkaart"
"carte prépayée","herlaadkaart"
"N° de client actuel","Huidig klantnummer"
"La facture est-elle à votre nom ? *","Staat de factuur op jouw naam ? *"
"La facture est-elle à votre nom","Staat de factuur op jouw naam"
"Oui","Ja"
"Non","Neen"
"Nom du titulaire","Naam van de titularis"
"Prénom du titulaire","Voornaam van de titularis"
"Informations ","Gegevens"
"Voulez-vous ajouter cet ou ces abonnement(s) a votre facture","Wil je dit of deze abonnement(en) toevoegen aan je factuur"
"Si vous êtes déjà abonné chez Orange, vous bénéficiez d'une réduction de 5 €/mois.","Indien je al een Orange-abonnement hebt, geniet je van een korting van 5 €/maand. "
"Avez-vous un abonnement mobile d'au moins 10 €/mois ? ","Heb je een gsm-abonnement van minstens 10 €/maand? *"
"Indépendant ou société","Zelfstandige of bedrijf"
"Profil","Profiel"
"Entreprise","Bedrijf"
"Indépendant","Zelfstandige"
"Profession libérale sans numéro de TVA","Vrij beroep zonder btw-nummer"
"Profession libérale avec numéro de TVA","Vrij beroep met btw-nummer"
"Statut juridique","Juridisch statuut"
"SA","nv"
"SPRL","bvba"
"ASBL","vzw"
"SCRL","cvba"
